Date,Close
2026-07-08 00:00:00-04:00,313.3900146484375
2026-07-09 00:00:00-04:00,316.2200012207031
2026-07-10 00:00:00-04:00,315.32000732421875
2026-07-13 00:00:00-04:00,317.30999755859375
2026-07-14 00:00:00-04:00,314.8599853515625
2026-07-15 00:00:00-04:00,327.5
2026-07-16 00:00:00-04:00,333.260009765625
2026-07-17 00:00:00-04:00,333.739990234375
2026-07-20 00:00:00-04:00,326.5899963378906
2026-07-21 00:00:00-04:00,327.739990234375
2026-07-22 00:00:00-04:00,325.8900146484375
2026-07-23 00:00:00-04:00,321.6600036621094
2026-07-24 00:00:00-04:00,333.0199890136719
2026-07-27 00:00:00-04:00,336.9100036621094
2026-07-28 00:00:00-04:00,340.0799865722656
2026-07-29 00:00:00-04:00,338.19000244140625
2026-07-30 00:00:00-04:00,333.42999267578125
2026-07-31 00:00:00-04:00,308.9100036621094
2026-08-03 00:00:00-04:00,305.7650146484375
