strike,market_iv,fitted_iv
250.0,0.4061709204159767,0.39605388442298306
255.0,0.4117517277860013,0.3799027219274156
260.0,0.3655580946844241,0.36488526871394944
265.0,0.3246495124399525,0.3510015247825855
270.0,0.3122527169532114,0.3382514901333229
275.0,0.3321625233777519,0.32663516476616206
280.0,0.3143803701415033,0.3161525486811021
285.0,0.3027200867620997,0.30680364187814435
290.0,0.2970675288265272,0.2985884443572884
295.0,0.2916543908525195,0.29150695611853417
300.0,0.287105290238671,0.2855591771618813
305.0,0.2792117940977143,0.2807451074873297
310.0,0.2803384510338458,0.27706474709487994
315.0,0.2708779574601272,0.27451809598453236
320.0,0.2689035091126193,0.2731051541562861
325.0,0.2725649865434558,0.27282592161014163
330.0,0.2744673671493272,0.27368039834609803
335.0,0.2751452302827766,0.27566858436415664
340.0,0.2774009587480311,0.278790479664317
345.0,0.2867589141572418,0.2830460842465792
350.0,0.2907030683626109,0.28843539811094265
355.0,0.2935573101072375,0.2949584212574079
360.0,0.3076999811511456,0.302615153685974
365.0,0.3197908980412242,0.31140559539664237
370.0,0.3353401118304698,0.3213297463894125
375.0,0.3454599957968075,0.33238760666428435
380.0,0.3223123144453721,0.344579176221258
385.0,0.3762951277337117,0.3579044550603321
390.0,0.3884102546807981,0.3723634431815088
395.0,0.3449524119975358,0.3879561405847869
400.0,0.4077392745097632,0.4046825472701667
