contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,spot
AAPL260828C00345000,2026-07-31 19:59:19+00:00,345.0,0.84,0.75,0.94,-5.66,-87.07692,2972.0,2444,0.2898020239257812,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00350000,2026-07-31 19:59:25+00:00,350.0,0.58,0.5,0.67,-4.28,-88.06584,1796.0,1237,0.2941965112304687,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00355000,2026-07-31 19:59:23+00:00,355.0,0.39,0.32,0.47,-4.06,-91.23596,2224.0,1210,0.2978585839843749,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00360000,2026-07-31 19:59:23+00:00,360.0,0.29,0.24,0.42,-2.41,-89.25926,1055.0,3965,0.3147041186523437,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00365000,2026-07-31 19:52:01+00:00,365.0,0.24,0.12,0.42,-1.66,-87.36842,519.0,1316,0.33740896972656254,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00370000,2026-07-31 19:58:49+00:00,370.0,0.16,0.1,0.38,-1.2,-88.2353,411.0,796,0.3532779516601562,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00375000,2026-07-31 19:48:01+00:00,375.0,0.09,0.08,0.31,-0.82000005,-90.10989,141.0,464,0.362311064453125,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00380000,2026-07-31 18:47:46+00:00,380.0,0.07,0.03,0.12,-0.66,-90.41096,469.0,454,0.33399103515625,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00385000,2026-07-31 19:43:16+00:00,385.0,0.05,0.05,0.28,-0.36999997,-88.09524,69.0,436,0.39600213378906257,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00390000,2026-07-31 19:59:42+00:00,390.0,0.05,0.03,0.26,-0.35999998,-87.80488,27.0,143,0.4106504248046875,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00395000,2026-07-31 18:42:58+00:00,395.0,0.04,0.02,0.05,-0.28,-87.5,5.0,261,0.34961587890624996,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828C00400000,2026-07-31 19:32:16+00:00,400.0,0.05,0.03,0.18,-0.15,-75.0,674.0,1291,0.42529871582031253,False,REGULAR,USD,call,2026-08-28,AAPL,308.9100036621094
AAPL260828P00190000,2026-07-24 15:57:12+00:00,190.0,0.04,0.0,0.64,0.0,0.0,,5,0.8359391406249999,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00200000,2026-07-31 19:32:16+00:00,200.0,0.06,0.0,0.12,-0.010000002,-14.285716,21.0,167,0.6132851171875001,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00205000,2026-07-20 18:38:54+00:00,205.0,0.13,0.0,0.1,0.0,0.0,,6,0.570316796875,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00210000,2026-07-30 19:37:52+00:00,210.0,0.07,0.01,0.07,0.0,0.0,1.0,8,0.5273484765625001,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00215000,2026-07-31 15:02:40+00:00,215.0,0.07,0.02,0.11,-0.16,-69.565216,1.0,18,0.52539537109375,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00220000,2026-07-31 13:34:20+00:00,220.0,0.28,0.01,0.14,0.19,211.1111,1.0,12,0.5019581054687501,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00225000,2026-07-31 19:10:57+00:00,225.0,0.1,0.04,0.15,0.030000001,42.857143,4.0,15,0.514653291015625,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00230000,2026-07-31 18:07:55+00:00,230.0,0.14,0.04,0.18,0.08,133.33334,6.0,7,0.495122236328125,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00235000,2026-07-31 19:53:27+00:00,235.0,0.15,0.11,0.21,-0.099999994,-39.999996,197.0,13,0.47363807617187503,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00240000,2026-07-31 19:38:27+00:00,240.0,0.18,0.08,0.24,0.040000007,28.571432,115.0,30,0.450200810546875,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00245000,2026-07-31 19:09:59+00:00,245.0,0.29,0.11,0.29,0.08999999,44.999992,94.0,50,0.43066975585937506,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00250000,2026-07-31 19:44:28+00:00,250.0,0.3,0.22,0.3,0.04000002,15.3846245,219.0,621,0.4008848974609375,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00255000,2026-07-31 19:54:50+00:00,255.0,0.35,0.28,0.38,0.07999998,29.629622,179.0,209,0.383795224609375,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00260000,2026-07-31 19:48:35+00:00,260.0,0.52,0.34,0.5,0.17999998,52.941166,370.0,159,0.36939107177734376,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
